ts	contract	seed	result	actualRounds	totalTx	deposits	syncRedeems	asyncRedeems	processBatch	finalizeBatch	rebalances	settlements	rateUpdates	priceUpdates	invariantChecks	invariantFails	totalGasUsed	wallMs
1776309507807	S1_DepositRedeemMix	12345	PASSED	50	1307	837	464	0	0	0	0	0	4	2	51	0	246374379	960
1776309586075	S2_AsyncRedeemFullCycle	12345	PASSED	50	503	58	0	332	49	49	0	0	9	6	151	0	274587720	914
1776309666788	S3_RebalanceSettlement	12345	PASSED	50	1770	819	0	715	50	50	50	68	9	9	201	0	627672699	1712
1776309743626	S4_ExchangeRateFeeAccrual	12345	PASSED	50	172	95	18	0	0	0	0	0	50	9	50	0	54904344	254
1776309826094	S5_SanctionedUserInterlace	12345	PASSED	50	2302	1855	386	17	17	17	0	0	6	4	51	0	426951628	1384
1776309911708	S6_InFlightEdgeCases	12345	PASSED	50	423	153	21	75	26	26	58	36	16	12	51	0	134040820	489
1776309995032	S7_FullProtocolEndurance	12345	PASSED	15	959	498	105	283	15	15	15	9	15	4	17	0	221374172	614
1776310073838	S8_InvestSettlementEdge	12345	PASSED	50	242	100	0	0	0	0	50	64	16	12	51	0	94402757	359
1776310158523	S9_MultiAdapterMix	12345	PASSED	50	1610	898	0	497	49	49	50	45	9	13	102	0	459918397	1323
1776310163356	S1_DepositRedeemMix	22345	PASSED	50	1277	822	449	0	0	0	0	0	4	2	51	0	241258238	954
1776310168107	S2_AsyncRedeemFullCycle	22345	PASSED	50	494	54	0	325	50	50	0	0	9	6	151	0	270023550	894
1776310173738	S3_RebalanceSettlement	22345	PASSED	50	1766	940	0	593	50	50	50	65	9	9	201	0	583939432	1750
1776310177868	S4_ExchangeRateFeeAccrual	22345	PASSED	50	199	123	17	0	0	0	0	0	50	9	50	0	58559719	265
1776310183056	S5_SanctionedUserInterlace	22345	PASSED	50	2180	1696	423	17	17	17	0	0	6	4	51	0	410823349	1328
1776310187384	S6_InFlightEdgeCases	22345	PASSED	50	412	135	21	75	30	30	58	35	16	12	51	0	131538091	469
1776310191832	S7_FullProtocolEndurance	22345	PASSED	15	959	616	94	168	15	15	15	17	15	4	17	0	188547431	582
1776310196058	S8_InvestSettlementEdge	22345	PASSED	50	246	100	0	0	0	0	50	68	16	12	51	0	95962616	379
1776310201202	S9_MultiAdapterMix	22345	PASSED	50	1547	881	0	448	50	50	50	46	9	13	102	0	434130196	1295
1776310205927	S1_DepositRedeemMix	32345	PASSED	50	1079	754	319	0	0	0	0	0	4	2	51	0	207120708	841
1776310210673	S2_AsyncRedeemFullCycle	32345	PASSED	50	466	54	0	297	50	50	0	0	9	6	151	0	257566021	866
1776310216259	S3_RebalanceSettlement	32345	PASSED	50	1624	734	0	653	50	50	50	69	9	9	201	0	581844352	1730
1776310220390	S4_ExchangeRateFeeAccrual	32345	PASSED	50	185	105	21	0	0	0	0	0	50	9	50	0	57042325	274
1776310225573	S5_SanctionedUserInterlace	32345	PASSED	50	2180	1740	379	17	17	17	0	0	6	4	51	0	406907248	1339
1776310229972	S6_InFlightEdgeCases	32345	PASSED	50	418	153	10	83	27	27	58	32	16	12	51	0	135382476	506
1776310234422	S7_FullProtocolEndurance	32345	PASSED	15	970	489	140	263	15	15	15	14	15	4	17	0	219644182	619
1776310238609	S8_InvestSettlementEdge	32345	PASSED	50	242	100	0	0	0	0	50	64	16	12	51	0	94443460	360
1776310243682	S9_MultiAdapterMix	32345	PASSED	50	1499	862	0	406	49	49	50	61	9	13	102	0	418761464	1208
1776310248468	S1_DepositRedeemMix	42345	PASSED	50	1180	787	387	0	0	0	0	0	4	2	51	0	224264714	882
1776310253218	S2_AsyncRedeemFullCycle	42345	PASSED	50	484	54	0	319	48	48	0	0	9	6	151	0	267906946	879
1776310258781	S3_RebalanceSettlement	42345	PASSED	50	1656	783	0	651	49	49	50	56	9	9	201	0	583245874	1714
1776310262896	S4_ExchangeRateFeeAccrual	42345	PASSED	50	206	127	20	0	0	0	0	0	50	9	50	0	59188685	268
1776310268159	S5_SanctionedUserInterlace	42345	PASSED	50	2212	1730	421	17	17	17	0	0	6	4	51	0	414720986	1410
1776310272498	S6_InFlightEdgeCases	42345	PASSED	50	411	150	10	77	26	26	58	36	16	12	51	0	133107404	464
1776310276907	S7_FullProtocolEndurance	42345	PASSED	15	897	515	129	176	15	15	15	13	15	4	17	0	182931545	558
1776310281116	S8_InvestSettlementEdge	42345	PASSED	50	242	100	0	0	0	0	50	64	16	12	51	0	94389314	375
1776310286199	S9_MultiAdapterMix	42345	PASSED	50	1524	879	0	433	50	50	50	40	9	13	102	0	423559025	1210
1776310291006	S1_DepositRedeemMix	52345	PASSED	50	1248	796	446	0	0	0	0	0	4	2	51	0	236587757	958
1776310295748	S2_AsyncRedeemFullCycle	52345	PASSED	50	495	54	0	326	50	50	0	0	9	6	151	0	271906721	894
1776310301342	S3_RebalanceSettlement	52345	PASSED	50	1615	823	0	568	47	47	50	62	9	9	201	0	550190074	1670
1776310305446	S4_ExchangeRateFeeAccrual	52345	PASSED	50	206	124	23	0	0	0	0	0	50	9	50	0	59411073	284
1776310310655	S5_SanctionedUserInterlace	52345	PASSED	50	2235	1759	415	17	17	17	0	0	6	4	51	0	416706761	1362
1776310314996	S6_InFlightEdgeCases	52345	PASSED	50	411	144	19	78	27	27	58	30	16	12	51	0	130068293	456
1776310319369	S7_FullProtocolEndurance	52345	PASSED	15	794	446	123	150	15	15	15	11	15	4	17	0	160858041	506
1776310323613	S8_InvestSettlementEdge	52345	PASSED	50	243	100	0	0	0	0	50	65	16	12	51	0	94868659	363
1776310328687	S9_MultiAdapterMix	52345	PASSED	50	1540	834	0	490	49	49	50	46	9	13	102	0	446693122	1222
1776310333523	S1_DepositRedeemMix	62345	PASSED	50	1145	799	340	0	0	0	0	0	4	2	51	0	217657745	922
1776310338244	S2_AsyncRedeemFullCycle	62345	PASSED	50	472	56	0	301	50	50	0	0	9	6	151	0	259444249	865
1776310343847	S3_RebalanceSettlement	62345	PASSED	50	1728	883	0	609	49	49	50	70	9	9	201	0	584717357	1740
1776310347968	S4_ExchangeRateFeeAccrual	62345	PASSED	50	209	125	25	0	0	0	0	0	50	9	50	0	59958311	271
1776310353113	S5_SanctionedUserInterlace	62345	PASSED	50	2147	1765	321	17	17	17	0	0	6	4	51	0	397347324	1283
1776310357412	S6_InFlightEdgeCases	62345	PASSED	50	382	139	11	63	24	24	58	35	16	12	51	0	124880552	448
1776310361868	S7_FullProtocolEndurance	62345	PASSED	15	917	496	134	209	15	15	15	14	15	4	17	0	195689961	598
